Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Sandborn 2020d (CELEST) - Induction,Low risk,"<p>""Centrally randomized using interactive response technology"". We contacted the authors for clarification on the methods used: &nbsp;""at baseline, patients were randomized (1:1:1:1:1:1) to receive double-blind, 16-week induction treatment with placebo or the immediate-release formulation of upadacitinib 3-mg, 6-mg, 12-mg, or 24-mg twice daily or 24-mg once-daily oral doses. Patients were equally randomized (1:1) for the follow-up ileocolonoscopy at either week 12 or 16 for evaluation of the optimal timing of endoscopic assessment for future studies. Patients were centrally randomized using interactive response technology (IRT).""</p>",Low risk,"<p>""Centrally randomized using interactive response technology"".</p>",Low risk,"<p>Authors state ""patients, investigators, site coordinators, and sponsor were blinded to treatment assignment"". We contacted the authors for more information: ""Both the induction and maintenance treatments were double-blinded. The patients, investigators, site coordinators, and sponsor were blinded to treatment assignment. All study drug kits would have had the same appearance and would have been dispensed according to the IRT system. No study related personnel had unblinded access to the IRT and did not know what treatment was given to the patient.""</p>",Low risk,"<p>We contacted the authors for clarification: ""Ileocolonoscopies performed during screening, week 12 or 16, and week 52 for the SES-CD were centrally read for eligibility and for the efficacy assessments by readers who were blinded to patient data and timepoints.""</p>",Low risk,"<p>According to the flowchart of Supplementary Figure 2 (S2), attrition was balanced in all groups with adequate reasons provided for loss in numbers.</p>",Low risk,<p>Relevant outcomes reported per trial registration</p>,Low risk,<p>Baseline characteristics reported and balanced for patients in all groups. No other apparent sources of bias.</p>
Sandborn 2022 - GALAXI 1,Low risk,"<p>Author response after our enquiry:</p>
<p>""Central randomization will be implemented in GALAXI 1. Participants will be randomly assigned to 1 of 5 treatment groups (1:1:1:1:1 ratio), based on a computer-generated randomization schedule prepared before the studies by or under the supervision of the sponsor. The randomization will be balanced by using randomly permuted blocks and will be stratified by<br>
 baseline CDAI score (≤300 or &gt;300) and BIO-Failure status (Yes/No). The IWRS will assign a unique treatment code, which will dictate the treatment assignment and matching study intervention kit(s) for the participant. The requestor must use his or her own user identification and personal identification number when contacting the IWRS and will then be given the relevant participant details to uniquely identify the participant.""</p>",Low risk,"<p>Author response after our enquiry:</p>
<p>""Central randomization will be implemented in GALAXI 1. Participants will be randomly assigned to 1 of 5 treatment groups (1:1:1:1:1 ratio), based on a computer-generated randomization schedule prepared before the studies by or under the supervision of the sponsor. The randomization will be balanced by using randomly permuted blocks and will be stratified by<br>
 baseline CDAI score (≤300 or &gt;300) and BIO-Failure status (Yes/No). The IWRS will assign a unique treatment code, which will dictate the treatment assignment and matching study intervention kit(s) for the participant. The requestor must use his or her own user identification and personal identification number when contacting the IWRS and will then be given the relevant participant details to uniquely identify the participant.""</p>",Low risk,"<p>Author response after our enquiry:</p>
<p>All participants will continue to receive active or placebo study intervention administration in the LTE in a blinded fashion until study unblinding, which will occur after the Week 48 DBL and the Week 48 analyses have been completed for the Phase 2 study (for participants entering the LTE from GALAXI 1)<br>
 • Clinical assessors are blinded to treatment assignment and endoscopic assessors are blinded to treatment assignment, patient IDs and study visits.<br>
 • In GALAXI 1, the sponsor will remain blinded until the Week 48 DBL. However, a limited number of sponsor personnel will become unblinded at the Week 12 DBL for a dosing decision after the first 250 randomized participants have either completed the Week 12 visit or have terminated study participation before Week 12. If a dosing decision cannot be made, a subsequent DBL will occur after the first 250 randomized participants have either completed the Week 24 visit or have terminated study participation before Week 24. At the time of each analysis, selected sponsor personnel will be unblinded for all randomized participants from the Initial Dose Decision Cohort and for any available participants from the Transition Cohort. After the Week 48 DBL when all randomized participants (including both the Initial Dose Decision Cohort and the Transition Cohort) have either completed the Week 48 visit or have terminated study participation before Week 48, the treatment assignment information will be unblinded for all participants and released to the sponsor for analysis.</p>",Low risk,"<p>Author response after our enquiry:</p>
<p>All participants will continue to receive active or placebo study intervention administration in the LTE in a blinded fashion until study unblinding, which will occur after the Week 48 DBL and the Week 48 analyses have been completed for the Phase 2 study (for participants entering the LTE from GALAXI 1)<br>
 • Clinical assessors are blinded to treatment assignment and endoscopic assessors are blinded to treatment assignment, patient IDs and study visits.<br>
 • In GALAXI 1, the sponsor will remain blinded until the Week 48 DBL. However, a limited number of sponsor personnel will become unblinded at the Week 12 DBL for a dosing decision after the first 250 randomized participants have either completed the Week 12 visit or have terminated study participation before Week 12. If a dosing decision cannot be made, a subsequent DBL will occur after the first 250 randomized participants have either completed the Week 24 visit or have terminated study participation before Week 24. At the time of each analysis, selected sponsor personnel will be unblinded for all randomized participants from the Initial Dose Decision Cohort and for any available participants from the Transition Cohort. After the Week 48 DBL when all randomized participants (including both the Initial Dose Decision Cohort and the Transition Cohort) have either completed the Week 48 visit or have terminated study participation before Week 48, the treatment assignment information will be unblinded for all participants and released to the sponsor for analysis.</p>",Low risk,"<p>Author response after our enquiry:</p>
<p>""Central randomization will be implemented in GALAXI 1. Participants will be randomly assigned to 1 of 5 treatment groups (1:1:1:1:1 ratio), based on a computer-generated randomization schedule prepared before the studies by or under the supervision of the sponsor. The randomization will be balanced by using randomly permuted blocks and will be stratified by<br>
 baseline CDAI score (≤300 or &gt;300) and BIO-Failure status (Yes/No). The IWRS will assign a unique treatment code, which will dictate the treatment assignment and matching study intervention kit(s) for the participant. The requestor must use his or her own user identification and personal identification number when contacting the IWRS and will then be given the relevant participant details to uniquely identify the participant.""</p>",Low risk,<p>All appropriate outcomes reported per trial registration and/or provided to us by the sponsor</p>,Low risk,<p>Baseline characteristics reported and are balanced accross study arms. No other reasons for bias apparent</p>
Sandborn 2023 - BERGAMOT (cohort 1),Low risk,"<p>An independent, interactive voice web-based response system provided by Parexel (Newton, MA) was used to generate the randomisation list and randomly assign patients to a treatment group</p>",Low risk,"<p>An independent, interactive voice web-based response system provided by Parexel (Newton, MA) was used to generate the randomisation list and randomly assign patients to a treatment group</p>",Low risk,<p>Double-blinded placebo-controlled</p>,Low risk,<p>Central reading for endoscopic analysis</p>,Unclear risk,<p>34% left the placebo group compared to 18% and 13% of the other two groups</p>,Low risk,<p>Appropriate outcomes reported per trial registration</p>,Unclear risk,<p>The baseline characteristics for cohort 1 have not been presented.</p>
Sandborn 2023 - BERGAMOT (cohort 3),Low risk,"<p>An independent, interactive voice web-based response system provided by Parexel (Newton, MA) was used to generate the randomisation list and randomly assign patients to a treatment group</p>",Low risk,"<p>An independent, interactive voice web-based response system provided by Parexel (Newton, MA) was used to generate the randomisation list and randomly assign patients to a treatment group</p>",Low risk,<p>Double-blinded placebo-controlled</p>,Low risk,<p>Central reading for endoscopic analysis</p>,Low risk,<p>No major attrition differences and reasons balanced.</p>,Low risk,<p>Appropriate outcomes reported per trial registration</p>,Low risk,<p>No baseline differences. No other concerns</p>
Sandborn 2023 - BERGAMOT Maintenance,Low risk,"<p>""An independent, interactive voice web-based response system provided by Parexel Newton, MA) was used to generate the randomisation list and randomly assign patients to a treatment group""</p>",Low risk,"<p>""Blinded kit identification numbers were used to dispense study treatment""</p>",Low risk,<p>Matched placebo. No further detail</p>,Unclear risk,<p>No detail</p>,Low risk,"<p>40% of randomised patients left the placebo group due to lack of efficacy compared to 30% of the etrolizumab group. However, as all other attrition reasons were balanced we did not think that 10% difference could have sufficiently influenced outcome results</p>",Low risk,<p>Prospectively registered at NCT02394028. The outcomes reported are appropriate and match the trial registration.</p>,Low risk,<p>No concerns.</p>
Sands 2004 (ACCENT II) Induction (Non-responders),Low risk,"<p>A computer-generated adaptive randomization scheme was used, which included the study site, the number of draining fistulas at baseline (one vs. more than one), and the presence or absence of active bowel disease at baseline (active bowel disease was considered to be present if the Crohn’s Disease Activity Index was at least 150) as stratification factors.</p>",Low risk,<p>A pharmacist prepared each infusion of infliximab or an identical appearing placebo. Neither the patients nor the study investigators were aware of the treatment assignment. Crossovers were masked so that patients and physicians remained unaware of the treatment assignment.</p>,Low risk,<p>A pharmacist prepared each infusion of infliximab or an identical appearing placebo. Neither the patients nor the study investigators were aware of the treatment assignment. Crossovers were masked so that patients and physicians remained unaware of the treatment assignment.</p>,Unclear risk,<p>Not mentioned</p>,Low risk,"<p>Low and balanced attrition, that did not affect outcomes</p>",High risk,<p>The reported outcomes have shifted from those published in the trial registration (NCT00207766)</p>,Low risk,<p>Baseline characteristics are balanced across the study arms. No other sources of bias are apparent</p>
Sands 2004 (ACCENT II) Maintenance (Responders),Low risk,"<p>A computer-generated adaptive randomization scheme was used, which included the study site, the number of draining fistulas at baseline (one vs. more than one), and the presence or absence of active bowel disease at baseline (active bowel disease was considered to be present if the Crohn’s Disease Activity Index was at least 150) as stratification factors.</p>",Low risk,<p>A pharmacist prepared each infusion of infliximab or an identical appearing placebo. Neither the patients nor the study investigators were aware of the treatment assignment. Crossovers were masked so that patients and physicians remained unaware of the treatment assignment.</p>,Low risk,<p>A pharmacist prepared each infusion of infliximab or an identical appearing placebo. Neither the patients nor the study investigators were aware of the treatment assignment. Crossovers were masked so that patients and physicians remained unaware of the treatment assignment.</p>,Unclear risk,<p>It is not reported whether the clinicians conducting the assessments and examinations at study visits were blinded to treatment assignments</p>,Low risk,<p>Low and balanced attrition with no influence on outcomes</p>,High risk,<p>The reported outcomes have shifted from those published in the trial registration (NCT00207766)</p>,Low risk,<p>Baseline characteristics are balanced across the study arms. No other concerns</p>
Sands 2007,Unclear risk,<p>Not mentioned</p>,Unclear risk,<p>Not mentioned</p>,Low risk,"<p>Author states ""placebo was identical in appearance to natalizumab"".</p>",Unclear risk,<p>Not mentioned</p>,Low risk,<p>Attrition was accounted for and balanced in both groups.</p>,Unclear risk,<p>Authors reported results according to the method section - CDAI score. The trial registration has no planned outcomes.</p>,Low risk,<p>Baseline characteristics reported for both groups and balanced. No other apparent sources of bias.</p>
Sands 2010,Low risk,<p>Randomization was performed centrally using a computer-generated randomization scheme and an integrated-voice-response system (IVRS) to assign patients to treatment arms or placebo. Patients were stratified according to C-reactive protein (CRP) levels (≥10 or &lt;10 mg/L) and concurrent corticosteroid use (yes or no response). A permuted block design was employed using a 1:1:1 allocation to treatment arms and placebo. Enrollment of patients with CRP levels &lt;10 mg/L was capped at 40% and patients were distributed evenly between groups.</p>,Low risk,<p>Central allocation</p>,Low risk,<p>Authors state 'Neither the patients nor the study investigators were aware of the group assignments'.&nbsp;</p>,Low risk,<p>They state 'Neither the patients nor the study investigators were aware of the group assignments'.&nbsp;</p>,Low risk,<p>Balanced attrition</p>,Low risk,<p>All outcomes are reported&nbsp;</p>,Low risk,<p>Baseline characteristics are balanced accross study arms. No other sources of bias apparent</p>
Sands 2014 (GEMINI III),Low risk,"<p>Author state ""randomization was computer-generated centrally"".</p>",Low risk,"<p>Author states as ""patient enrollment, monitored by an interactive voice response system"" and ""treatment-qualified patient received a unique randomization number used to provide treatment assignments for dose preparation via the interactive voice response system. Salinebag covers and labels maintained blinding. Only the study site pharmacist was aware of treatment assignments"".</p>",Low risk,"<p>Author states ""treatment-qualified patient received a unique randomization number used to provide treatment assignments for dose preparation via the interactive voice response system. Salinebag covers and labels maintained blinding. Only the study site pharmacist was aware of treatment assignments"".</p>",Low risk,<p>Only the study site pharmacist was aware of treatment assignments.</p>,Low risk,<p>Balanced attrition. Reasons are not explicitly stated but can be inferred from the text.</p>,Low risk,<p>According to trial registration and method section author reported relevant outcomes - proprotion of patients in clinical remission and response (CDAI scores).</p>,Low risk,<p>Baseline characteristics reported for and balanced in all groups. No other apparent sources of bias.</p>
Sands 2022 (SEAVUE),Low risk,"<p>Randomly assigned (1:1) via an interactive web response system to receive ustekinumab or adalimumab.<br>
 &nbsp;</p>",Low risk,"<p>Concealed allocation was done via computer-generated randomisation schedule, managed by an independent vendor under supervision by the study funder</p>",Low risk,"<p>Patients, investigators, and study site personnel were masked to treatment group assignment. Placebo was administered as necessary so that all patients received the same number of infusions and injections at the same timepoints to maintain blinding. Ustekinumab and<br>
 adalimumab syringes were not identical but were packaged identically, and study site personnel did not see syringes out of containers. At day 0 and 2 weeks, a non-masked site<br>
 employee who was not part of the study team administered the study treatments and trained patients for at-home administration after week 2. Efficacy and safety assessments were done by masked study personnel.</p>",Low risk,"<p>Patients, investigators, and study site personnel were masked to treatment group assignment. Placebo was administered as necessary so that all patients received the same number of infusions and injections at the same timepoints to maintain blinding. Ustekinumab and<br>
 adalimumab syringes were not identical but were packaged identically, and study site personnel did not see syringes out of containers. At day 0 and 2 weeks, a non-masked site<br>
 employee who was not part of the study team administered the study treatments and trained patients for at-home administration after week 2. Efficacy and safety assessments were done by masked study personnel.</p>",Low risk,"<p>Small difference in attrition rates and reasons, not likely to have influenced outcomes.</p>",Low risk,<p>According to the trial registration &nbsp;the authors reported the relevant outcome measures</p>,Low risk,<p>No baseline differences. No other concerns.</p>
Sands 2022 (SERENITY),Low risk,"<p>""Computer-generated random sequence using an interactive web-response system""</p>",Low risk,"<p>""Computer-generated random sequence using an interactive web-response system"".&nbsp;</p><p>""A study site pharmacist or other trained person was unblinded at the site for investigational product preparation.""</p>",Low risk,<p>Desribed as double-blind.</p>,Unclear risk,<p>No details apart from endoscopy which was centrally read.</p>,Low risk,<p>Equal attrition between groups and reasons provided and balanced.</p>,Low risk,<p>Outcomes appropriately reported per the trial registration (NCT02891226)</p>,Low risk,<p>Baseline characteristics similar between groups.</p>
Schreiber 2005,Low risk,"<p>Author states ""randomization code was prepared by an independent statistician""&nbsp;</p>",Low risk,"<p>Authors state ""patients were assigned to treatment by the use of a randomization allocation schedule managed via an interactive voice response system"".&nbsp;</p>",High risk,"<p>Author states ""certolizumab and placebo did not have the same color or viscosity, full blinding was not possible"" but also mentioned ""Consequently, patients received their treatment from a nurse or physician who was not involved in the study. All other staff involved in the study remained blind to treatment"".</p>",Low risk,"<p>Authors did state ""All other staff involved in the study remained blind to treatment""</p>",Low risk,<p>Attrition balanced between groups and reasons given</p>,Low risk,<p>Outcomes have been reported per trial registration</p>,Low risk,<p>Baseline characteristics reported for and balanced for all groups. No other apparent sources of bias.</p>
Schreiber 2007 (PRECISE 2),Low risk,"<p>Author states ""randomization code...was generated by an independent contractor""</p>",Low risk,"<p>Authors state ""Randomization was centralized by means of an interactive voice-recognition system"".</p>",Low risk,"<p>Author states ""Patients and investigators were un-aware of the group assignment""&nbsp;</p>",Low risk,"<p>Author states ""Patients and investigators were un-aware of the group assignment""&nbsp;</p>",High risk,"<p>Considerable more participants withdrew from the placebo group compared to the certolizumab group, the imbalance being cauased mainly due to ""lack of improvement or worsening of disease"". It's likely this has affected our outcome results.</p>",Low risk,<p>Outcomes reported per the trial registration</p>,Low risk,<p>Baseline characteristics reported for and balanced in both groups. No other apparent sources of bias.</p>
Schreiber 2018a,Unclear risk,<p>Not mentioned</p>,Unclear risk,<p>Not mentioned</p>,Low risk,"<p>Authors state ""Treatments were provided as single-use 150-mg/ml [1-ml] prefilled syringes with matching placebo""&nbsp;</p>",Low risk,<p>Centrally-read colonoscopy</p>,Low risk,"<p>Attrition accounted for and balanced in all groups, with adequate reasons provided respectively.</p>",Low risk,"<p>According to trial registration and method section, authors reported relevant endpoint outcomes - proportion of patients with clinical remission (CDAI score) and endoscopic response (SES-CD score)&nbsp;</p>",Low risk,<p>Baseline characteristics reported for and balanced in all groups. No other apparent source of bias.</p>
Targan 1997,Low risk,"<p>Authors state ""Randomization was performed centrally by an independent organization (PPDPharmaco, Austin, Tex.)""</p>",Low risk,"<p>Authors state ""Randomization was performed centrally by an independent organization (PPDPharmaco, Austin, Tex.)""</p>",Low risk,"<p>Author states ""The investigators, all other study personnel, and the patients were blinded to the treatment assignments""</p>",Low risk,"<p>Author states ""The investigators, all other study personnel, and the patients were blinded to the treatment assignments""</p>",Low risk,<p>No attrition</p>,Unclear risk,"<p>Outcomes reported per the trial registration. However, the safety data include non-randomised patients.</p>",Low risk,<p>Baseline characteristics were reported for and balanced in all groups. No other apparent sources of bias.</p>
Targan 2007 (ENCORE),Low risk,"<p>Authors state ""Randomization was stratified by site, and assignment to treatment was centrally performed""</p>",Low risk,"<p>Authors state ""Randomization was stratified by site, and assignment to treatment was centrally performed""&nbsp;</p>",Low risk,"<p>Authors state ""The patients, site staff, and study investigators were all blinded to treat-ment assignment.""&nbsp;</p>",Low risk,"<p>Authors state ""The patients, site staff, and study investigators were all blinded to treat-ment assignment.""&nbsp;</p>",Low risk,<p>Attrition in both groups accounted for and balanced with adequate reasons provided.</p>,Unclear risk,"<p>According to method section, authors reported relevant and planned outcome data - porportion of patients in clinical remission or response. However, the trial registration has no planned outcomes.</p>",Low risk,<p>Baseline characteristics were reported for and balanced in all groups. No other apparent sources of bias.</p>
VanAssche 2012 (SWITCH),Low risk,"<p>Authors state ""Random allocation was based on a centrally stored randomly generated list that was not accessible to the investigators""&nbsp;</p>",Low risk,"<p>Authors state ""Random allocation was based on a centrally stored randomly generated list that was not accessible to the investigators""</p>",High risk,<p>Open-label study</p>,High risk,<p>Open-label study</p>,Unclear risk,<p>Authors reported higher attrition with adalimumab group (10/36) versus infliximab (1/37). Respective reasons are provided. There is a chance this might have affected outcomes.</p>,Unclear risk,"<p>Trial registered NCT01338740. The authors reported the proportion of patients with specific CDAI score changes, however the reporting of remission rates is unclear.</p>",Low risk,<p>Baseline characteristics were reported for and balanced in both groups. No other apparent sources of bias.</p>
Vermeire 2017 FITZROY  - induction,Low risk,"<p>A prespecified randomisation scheme prepared by an independent statistician was used to<br>
 randomly allocate patients to treatment groups. Patients were stratified according to previous anti-TNF exposure, C-reactive protein concentration at screening (≤10 mg/L<br>
 or &gt;10 mg/L), and oral corticosteroid use at baseline, using an interactive web-based response system.&nbsp;</p>",Low risk,"<p>For each patient at each visit, the clinic contacted the interactive web-based response system to obtain a treatment number corresponding to the appropriate study drug.</p>",Low risk,"<p>Patients, investigators, study coordinators, the sponsor, and the entire study team were masked to treatment assignment. Filgotinib and placebo were presented as orally administered brown fi lm-coated tablets that were identical in appearance and contained the same excipients</p>",Low risk,"<p>For the efficacy reads, assessment was done by two independent central readers in a masked fashion. In the case of discrepant results, a third, independent read by an adjudicator was done and was used as the final determination of efficacy read.</p>",Low risk,<p>Balanced and mostly explained attrition for part 1 of this trial.</p>,Low risk,<p>All outcomes for part 1 of this trial reported per the trial registation (NCT02048618)</p>,Low risk,<p>No baseline imbalances. No other concerns.</p>
Vermeire 2017 FITZROY - induction non-responders,Low risk,<p>A prespecified randomisation scheme prepared by an independent statistician was used to randomly allocate patients to treatment groups.&nbsp;</p>,Low risk,"<p>For each patient at each visit, the clinic contacted the interactive web-based response system to obtain a treatment number corresponding to the appropriate study drug.</p>",Low risk,"<p>Patients, investigators, study coordinators, the sponsor, and the entire study team were masked to treatment assignment. Filgotinib and placebo were presented as orally administered brown fi lm-coated tablets that were identical in appearance and contained the same excipients</p>",Low risk,"<p>For the efficacy reads, assessment was done by two independent central readers in a masked fashion. In the case of discrepant results, a third, independent read by an adjudicator was done and was used as the final determination of efficacy read.</p>",Low risk,<p>Authors provided us with the data and it's balanced and the reasons explained</p>,Unclear risk,<p>The outcomes for non-responders are unclear</p>,Low risk,<p>Authors provided us with the maintenance baseline data which are balanced and we have no other concerns</p>
Vermeire 2017 FITZROY - maintenance responders,Low risk,<p>A prespecified randomisation scheme prepared by an independent statistician was used to randomly allocate patients to treatment groups.&nbsp;</p>,Low risk,"<p>For each patient at each visit, the clinic contacted the interactive web-based response system to obtain a treatment number corresponding to the appropriate study drug.</p>",Low risk,"<p>Patients, investigators, study coordinators, the sponsor, and the entire study team were masked to treatment assignment. Filgotinib and placebo were presented as orally administered brown fi lm-coated tablets that were identical in appearance and contained the same excipients</p>",Low risk,"<p>For the efficacy reads, assessment was done by two independent central readers in a masked fashion. In the case of discrepant results, a third, independent read by an adjudicator was done and was used as the final determination of efficacy read.</p>",Low risk,<p>Authors provided us with the data and it's balanced and the reasons explained</p>,Unclear risk,<p>The trial registation (NCT02048618) does not include the outcomes for the maintenance part of the trial. Relapse data are not clearly presented for the re-randomised group.</p>,Low risk,<p>Authors provided us with the maintenance baseline data which are balanced and we have no other concerns</p>
Vermeire 2021 (VISIBLE 2),Low risk,"<p>The author confirmed that ""The randomization schedule was generated randomly by a vendor who provided us with the interactive response technology for randomization""</p>",Low risk,"<p>The author confirmed that ""The personnel from the vendor who generated and had access to the live randomization schedule were not involved in the study conduct or data analysis. ""</p>",Low risk,"<p>This was a &nbsp;""double-blind, placebo-controlled"" study</p>",Unclear risk,<p>Not mentioned.</p>,Low risk,<p>Attrition was accounted for and balanced in both groups with adequate reasons provided for loss in numbers.</p>,Low risk,"<p>According to trial registration and method section, authors reported the necessary endpoints - &nbsp;proportion of patients with clinical remission and response.</p>",Low risk,<p>Baseline characteristics were reported for and balanced in all groups. No other apparent sources of bias.</p>
Vermeire 2025 - DIVERSITY (maintenance),Low risk,<p>Randomisation was done by the investigator through an interactive web response system</p>,Unclear risk,<p>No mention</p>,Low risk,"<p>Everyone directly involved in the study conduct (including investigators, study personnel, and patients) was fully blinded to treatment allocation until the last patient completed the follow-up visit 30 days after completing 58 weeks of treatment. The appearance, packaging, and handling of active treatment (filgotinib 200 mg and filgotinib 100 mg) and placebo were identical to maintain blinding.</p>",Low risk,"<p>All outcome assessors were blinded. Endoscopic central reading. Adverse events and clinical laboratory results were coded using the Medical Dictionary for Regulatory Activities version 25.0, and their severity was graded using the modified Common Terminology Criteria for Adverse Events version 4.03. An external, multidisciplinary data monitoring committee performed interim reviews of the safety data throughout the trial. All potential major adverse cardiovascular events (MACEs) and venous thromboembolic (VTE) events were reviewed and adjudicated periodically, and gastrointestinal perforation events were reviewed and adjudicated post hoc, in a blinded manner by an independent expert committee.</p>",Unclear risk,"<p>There are some differences in reasons for discontinuation. Protocol-specified disease worsening was between 45.5-57.1% for the placebo group and 26.3-38.5% in the filgotinib groups. Adverse events leading to discontinuation was 3.6% in the placebo group and between 7.6-10.6% in the filgotinib groups. The filgotinib 200mg group had higher percentages for discontinuation due to 'patient decision', 'protocol violation' and 'lost to follow-up'.</p>",Low risk,<p>Outcomes appropriately reported per trial registration NCT02914561</p>,Unclear risk,<p>There are some differences in CD duration and location between the placebo and filgotinib groups at baseline&nbsp;</p>
Vermeire 2025 - DIVERSITY A,Low risk,<p>Randomisation was done by the investigator through an interactive web response system</p>,Unclear risk,<p>No mention.</p>,Low risk,"<p>Everyone directly involved in the study conduct (including investigators, study personnel, and patients) was fully blinded to treatment allocation until the last patient completed the follow-up visit 30 days after completing 58 weeks of treatment. The appearance, packaging, and handling of active treatment (filgotinib 200 mg and filgotinib 100 mg) and placebo were identical to maintain blinding.</p>",Low risk,"<p>All outcome assessors were blinded. Endoscopic central reading. Adverse events and clinical laboratory results were coded using the Medical Dictionary for Regulatory Activities version 25.0, and their severity was graded using the modified Common Terminology Criteria for Adverse Events version 4.03. An external, multidisciplinary data monitoring committee performed interim reviews of the safety data throughout the trial. All potential major adverse cardiovascular events (MACEs) and venous thromboembolic (VTE) events were reviewed and adjudicated periodically, and gastrointestinal perforation events were reviewed and adjudicated post hoc, in a blinded manner by an independent expert committee.</p>",Low risk,<p>Balanced attrition and balanced reasons for withdrawals between groups.</p>,Low risk,<p>Outcomes appropriately reported per trial registration. NCT02914561</p>,Low risk,<p>No conerns</p>
Vermeire 2025 - DIVERSITY B,Low risk,<p>Randomisation was done by the investigator through an interactive web response system</p>,Unclear risk,<p>Randomisation was done by the investigator through an interactive web response system</p>,Low risk,<p>No mention</p>,Low risk,"<p>Everyone directly involved in the study conduct (including investigators, study personnel, and patients) was fully blinded to treatment allocation until the last patient completed the follow-up visit 30 days after completing 58 weeks of treatment. The appearance, packaging, and handling of active treatment (filgotinib 200 mg and filgotinib 100 mg) and placebo were identical to maintain blinding.</p>",Low risk,"<p>All outcome assessors were blinded. Endoscopic central reading. Adverse events and clinical laboratory results were coded using the Medical Dictionary for Regulatory Activities version 25.0, and their severity was graded using the modified Common Terminology Criteria for Adverse Events version 4.03. An external, multidisciplinary data monitoring committee performed interim reviews of the safety data throughout the trial. All potential major adverse cardiovascular events (MACEs) and venous thromboembolic (VTE) events were reviewed and adjudicated periodically, and gastrointestinal perforation events were reviewed and adjudicated post hoc, in a blinded manner by an independent expert committee.</p>",Low risk,<p>Outcomes appropriately reported per trial registration. NCT02914561</p>,Low risk,<p>No concerns</p>
Volkers 2017 - SIMILAR,Unclear risk,<p>Authors do not describe how they achieved randomisation.</p>,Unclear risk,<p>Authors do not describe how allocation was concealed.&nbsp;</p>,Low risk,<p>Described as a double-blind trial</p>,Unclear risk,<p>Not described.&nbsp;</p>,Unclear risk,"<p>Authors provide the overall numbers of patients withdrawing in the abstract but do not specify how many had CD and from the limited information provided, it is not possible to work out how many patients from each study arm withdrew</p>
<p>Authors only give information on primary outcome in the abstract but do not specify if it applies to CD or UC patients</p>",Unclear risk,"<p>Preliminary results and not all outcome results clearly reported.&nbsp;</p>
<p>Trial registration NCT02452151.</p>",Unclear risk,<p>No baseline information.</p>
Watanabe 2012 - Induction,Unclear risk,<p>Not described</p>,Unclear risk,<p>Not described</p>,Low risk,<p>Double-blinded study</p>,Unclear risk,<p>Not described</p>,Low risk,<p>Attrition was accounted for and balanced in both groups with adequate reasons provided for loss in numbers.</p>,Low risk,<p>According to trial registration and method section authors reported the relevant endpoints - CDAI scores at specific timepoints.</p>,Low risk,<p>Baseline characteristics were reported for and balanced in all groups. No other apparent sources of bias.</p>
Watanabe 2012 - Maintenance,Unclear risk,<p>Not described</p>,Unclear risk,<p>Not described</p>,Low risk,<p>Double-blinded study</p>,Unclear risk,<p>Not described</p>,Low risk,<p>Attrition was accounted for and balanced in both groups with adequate reasons provided for loss in numbers.</p>,Low risk,<p>According to trial registration and method section authors reported the relevant endpoints - CDAI scores at specific timepoints.</p>,Low risk,<p>Baseline characteristics were reported for and balanced in all groups. No other apparent sources of bias.</p>
Watanabe 2020 - Induction,Low risk,"<p>Author states ""Randomization schedules were generated by personnel designated by the sponsor""&nbsp;</p>",Low risk,"<p>Author states ""allocations were not disclosed until opening of the study drug allocation table, except to unblinded pharmacists at each site"".</p>",Low risk,<p>Double-blinded study</p>,Unclear risk,<p>Not described</p>,Low risk,<p>Attrition was accounted for and balanced in all groups with adequate reasons provided for loss in numbers.</p>,Low risk,<p>According to trial registration and method section authors reported the relevant endpoints - proportion of patients with specific CDAI-100 response and clinical remission.</p>,Low risk,<p>Baseline characteristics were reported for and balanced in all groups. No other apparent sources of bias.</p>
Watanabe 2020 - Maintenance,Low risk,"<p>Author states ""Randomization schedules were generated by personnel designated by the sponsor""</p>",Low risk,"<p>Author states ""allocations were not disclosed until opening of the study drug allocation table, except to unblinded pharmacists at each site"".</p>",Low risk,<p>Double-blinded study</p>,Unclear risk,"<p>Author states ""allocations were not disclosed until opening of the study drug allocation table, except to unblinded pharmacists at each site""</p>",Low risk,<p>Attrition was accounted for and balanced in all groups with adequate reasons provided for loss in numbers.</p>,Low risk,<p>According to trial registration and method section authors reported the relevant endpoints - proportion of patients with specific CDAI-100 response and clinical remission.</p>,Low risk,<p>Baseline characteristics were reported for and balanced in all groups. No other apparent sources of bias.</p>
